# nanoG1 PufferLib training (RTX 3090), parsed from full_train.log
minutes,steps_M,perf
0.0167,1.00,0.2480
0.0333,1.60,0.2510
0.0500,2.10,0.2530
0.0667,2.60,0.2580
0.0833,3.10,0.2630
0.1000,3.70,0.2680
0.1167,4.20,0.2740
0.1333,4.70,0.2780
0.1500,5.20,0.2840
0.1667,5.80,0.2880
0.1833,6.30,0.2950
0.2000,6.80,0.2980
0.2167,7.30,0.3050
0.2333,7.90,0.3230
0.2500,8.40,0.3260
0.2667,8.90,0.3400
0.3000,9.40,0.3620
0.3167,10.00,0.3690
0.3333,10.50,0.3910
0.3500,11.00,0.3930
0.3667,11.50,0.4170
0.3833,12.10,0.4290
0.4000,12.60,0.4350
0.4167,13.10,0.4380
0.4333,13.60,0.4410
0.4500,14.20,0.4410
0.4667,14.70,0.4340
0.4833,15.20,0.4420
0.5000,15.70,0.4270
0.5167,16.30,0.4470
0.5333,16.80,0.4270
0.5500,17.30,0.4390
0.5667,17.80,0.4490
0.5833,18.40,0.4720
0.6000,18.90,0.4340
0.6167,19.40,0.4280
0.6333,19.90,0.4280
0.6500,20.40,0.4340
0.6667,21.00,0.4390
0.6833,21.50,0.4310
0.7000,22.00,0.4210
0.7167,22.50,0.4310
0.7333,23.10,0.4350
0.7500,23.60,0.4530
0.7667,24.10,0.4370
0.7833,24.60,0.4340
0.8000,25.20,0.4440
0.8167,25.70,0.4610
0.8333,26.20,0.4780
0.8667,26.70,0.4280
0.8833,27.30,0.4310
0.9000,27.80,0.4340
0.9167,28.30,0.4430
0.9333,28.80,0.4680
0.9500,29.40,0.4630
0.9667,29.90,0.4640
0.9833,30.40,0.4520
1.0000,30.90,0.4490
1.0167,31.50,0.4170
1.0333,32.00,0.4080
1.0500,32.50,0.4020
1.0667,33.00,0.4100
1.0833,33.60,0.4460
1.1000,34.10,0.4650
1.1167,34.60,0.4460
1.1333,35.10,0.4730
1.1500,35.70,0.4480
1.1667,36.20,0.4620
1.1833,36.70,0.4770
1.2000,37.20,0.4680
1.2167,37.70,0.4690
1.2500,38.30,0.4500
1.2667,38.80,0.4690
1.2833,39.30,0.4610
1.3000,39.80,0.4510
1.3167,40.40,0.4440
1.3333,40.90,0.4520
1.3500,41.40,0.4310
1.3667,41.90,0.4420
1.3833,42.50,0.4250
1.4000,43.00,0.4500
1.4167,43.50,0.4420
1.4333,44.00,0.4300
1.4500,44.60,0.4580
1.4667,45.10,0.4620
1.4833,45.60,0.4760
1.5000,46.10,0.4840
1.5167,46.70,0.4880
1.5333,47.20,0.5060
1.5500,47.70,0.5250
1.5667,48.20,0.5370
1.5833,48.80,0.5060
1.6000,49.30,0.5020
1.6333,49.80,0.4930
1.6500,50.30,0.5020
1.6667,50.90,0.5370
1.6833,51.40,0.5350
1.7000,51.90,0.5240
1.7167,52.40,0.5320
1.7333,53.00,0.5240
1.7500,53.50,0.4870
1.7667,54.00,0.5380
1.7833,54.50,0.5690
1.8000,55.10,0.5810
1.8167,55.60,0.5550
1.8333,56.10,0.5490
1.8500,56.60,0.5460
1.8667,57.10,0.5500
1.8833,57.70,0.5450
1.9000,58.20,0.5560
1.9167,58.70,0.5710
1.9333,59.20,0.5690
1.9500,59.80,0.5560
1.9667,60.30,0.5610
1.9833,60.80,0.5360
2.0167,61.30,0.5220
2.0333,61.90,0.5450
2.0500,62.40,0.5550
2.0667,62.90,0.5510
2.0833,63.40,0.5880
2.1000,64.00,0.5690
2.1167,64.50,0.5500
2.1333,65.00,0.5550
2.1500,65.50,0.5520
2.1667,66.10,0.5620
2.1833,66.60,0.5700
2.2000,67.10,0.5810
2.2167,67.60,0.5850
2.2333,68.20,0.5710
2.2500,68.70,0.5710
2.2667,69.20,0.5890
2.2833,69.70,0.5980
2.3000,70.30,0.5970
2.3167,70.80,0.6060
2.3333,71.30,0.6000
2.3500,71.80,0.5920
2.3667,72.40,0.6010
2.4000,72.90,0.5810
2.4167,73.40,0.5910
2.4333,73.90,0.5900
2.4500,74.40,0.6300
2.4667,75.00,0.5980
2.4833,75.50,0.6220
2.5000,76.00,0.6300
2.5167,76.50,0.6530
2.5333,77.10,0.6240
2.5500,77.60,0.6250
2.5667,78.10,0.6320
2.5833,78.60,0.6430
2.6000,79.20,0.6410
2.6167,79.70,0.6420
2.6333,80.20,0.6200
2.6500,80.70,0.6160
2.6667,81.30,0.6150
2.6833,81.80,0.6180
2.7000,82.30,0.6000
2.7167,82.80,0.6260
2.7500,83.40,0.6070
2.7667,83.90,0.6190
2.7833,84.40,0.6210
2.8000,84.90,0.6300
2.8167,85.50,0.6230
2.8333,86.00,0.6400
2.8500,86.50,0.6510
2.8667,87.00,0.6360
2.8833,87.60,0.6540
2.9000,88.10,0.6290
2.9167,88.60,0.6250
2.9333,89.10,0.6460
2.9500,89.70,0.6550
2.9667,90.20,0.6230
2.9833,90.70,0.6460
3.0000,91.20,0.6250
3.0167,91.80,0.6070
3.0333,92.30,0.6260
3.0500,92.80,0.6400
3.0833,93.30,0.6420
3.1000,93.80,0.6260
3.1167,94.40,0.6230
3.1333,94.90,0.6430
3.1500,95.40,0.6530
3.1667,95.90,0.6460
3.1833,96.50,0.6590
3.2000,97.00,0.6520
3.2167,97.50,0.6620
3.2333,98.00,0.6670
3.2500,98.60,0.6590
3.2667,99.10,0.6640
3.2833,99.60,0.6520
3.3000,100.10,0.6490
3.3167,100.70,0.6730
3.3333,101.20,0.6510
3.3500,101.70,0.6730
3.3667,102.20,0.6940
3.4000,102.80,0.6750
3.4167,103.30,0.6520
3.4333,103.80,0.6530
3.4500,104.30,0.6590
3.4667,104.90,0.6630
3.4833,105.40,0.6710
3.5000,105.90,0.6780
3.5167,106.40,0.6770
3.5333,107.00,0.6860
3.5500,107.50,0.6890
3.5667,108.00,0.6950
3.5833,108.50,0.7000
3.6000,109.10,0.6770
3.6167,109.60,0.6700
3.6333,110.10,0.6850
3.6500,110.60,0.7030
3.6667,111.10,0.6940
3.7000,111.70,0.6930
3.7167,112.20,0.6950
3.7333,112.70,0.7050
3.7500,113.20,0.7050
3.7667,113.80,0.6980
3.7833,114.30,0.6940
3.8000,114.80,0.7180
3.8167,115.30,0.7180
3.8333,115.90,0.7210
3.8500,116.40,0.7240
3.8667,116.90,0.7240
3.8833,117.40,0.7360
3.9000,118.00,0.7360
3.9167,118.50,0.7250
3.9333,119.00,0.7330
3.9500,119.50,0.7260
3.9833,120.10,0.7260
4.0000,120.60,0.7270
4.0167,121.10,0.7210
4.0333,121.60,0.7340
4.0500,122.20,0.7320
4.0667,122.70,0.7300
4.0833,123.20,0.7330
4.1000,123.70,0.7240
4.1167,124.30,0.7260
4.1333,124.80,0.7270
4.1500,125.30,0.7260
4.1667,125.80,0.7370
4.1833,126.40,0.7350
4.2000,126.90,0.7450
4.2167,127.40,0.7420
4.2333,127.90,0.7400
4.2667,128.50,0.7430
4.2833,129.00,0.7590
4.3000,129.50,0.7450
4.3167,130.00,0.7500
4.3333,130.50,0.7570
4.3500,131.10,0.7540
4.3667,131.60,0.7470
4.3833,132.10,0.7460
4.4000,132.60,0.7440
4.4167,133.20,0.7320
4.4333,133.70,0.7520
4.4500,134.20,0.7580
4.4667,134.70,0.7660
4.4833,135.30,0.7550
4.5000,135.80,0.7710
4.5167,136.30,0.7570
4.5500,136.80,0.7640
4.5667,137.40,0.7740
4.5833,137.90,0.7600
4.6000,138.40,0.7710
4.6167,138.90,0.7750
4.6333,139.50,0.7650
4.6500,140.00,0.7720
4.6667,140.50,0.7700
4.6833,141.00,0.7780
4.7000,141.60,0.7720
4.7167,142.10,0.7820
4.7333,142.60,0.7790
4.7500,143.10,0.7790
4.7667,143.70,0.7810
4.7833,144.20,0.7710
4.8167,144.70,0.7670
4.8333,145.20,0.7800
4.8500,145.80,0.7840
4.8667,146.30,0.7710
4.8833,146.80,0.7780
4.9000,147.30,0.7840
4.9167,147.80,0.7810
4.9333,148.40,0.7670
4.9500,148.90,0.7730
4.9667,149.40,0.7770
4.9833,149.90,0.7790
4.9833,149.90,0.7730
4.9833,149.90,0.7780
4.9833,149.90,0.7780
4.9833,149.90,0.7800
4.9833,149.90,0.7810
4.9833,149.90,0.7940
4.9833,149.90,0.7830
4.9833,149.90,0.7830
4.9833,149.90,0.7800
4.9833,149.90,0.7740
4.9833,149.90,0.7760
4.9833,149.90,0.7770
4.9833,149.90,0.7800
4.9833,149.90,0.7870
4.9833,149.90,0.7800
4.9833,149.90,0.7780
4.9833,149.90,0.7890
4.9833,149.90,0.7700
4.9833,149.90,0.7840
4.9833,149.90,0.7830
4.9833,149.90,0.7810
4.9833,149.90,0.7860
4.9833,149.90,0.7790
4.9833,149.90,0.7830
4.9833,149.90,0.7780
4.9833,149.90,0.7910
4.9833,149.90,0.7750
4.9833,149.90,0.7820
4.9833,149.90,0.7770
4.9833,149.90,0.7830
4.9833,149.90,0.7770
4.9833,149.90,0.7920
4.9833,149.90,0.7710
4.9833,149.90,0.7760
4.9833,149.90,0.7800
4.9833,149.90,0.7820
4.9833,149.90,0.7770
4.9833,149.90,0.7830
4.9833,149.90,0.7750
4.9833,149.90,0.7810
4.9833,149.90,0.7730
4.9833,149.90,0.7820
4.9833,149.90,0.7880
4.9833,149.90,0.7790
4.9833,149.90,0.7760
4.9833,149.90,0.7740
4.9833,149.90,0.7920
4.9833,149.90,0.7860
4.9833,149.90,0.7790
4.9833,149.90,0.7810
4.9833,149.90,0.7770
4.9833,149.90,0.7780
4.9833,149.90,0.7710
4.9833,149.90,0.7830
4.9833,149.90,0.7760
4.9833,149.90,0.7800
4.9833,149.90,0.7850
4.9833,149.90,0.7820
4.9833,149.90,0.7780
4.9833,149.90,0.7670
4.9833,149.90,0.7830
4.9833,149.90,0.7890
4.9833,149.90,0.7710
4.9833,149.90,0.7830
4.9833,149.90,0.7730
4.9833,149.90,0.7820
4.9833,149.90,0.7890
4.9833,149.90,0.7870
4.9833,149.90,0.7830
4.9833,149.90,0.7760
4.9833,149.90,0.7840
4.9833,149.90,0.7820
4.9833,149.90,0.7880
4.9833,149.90,0.7770
4.9833,149.90,0.7870
4.9833,149.90,0.7820
4.9833,149.90,0.7790
4.9833,149.90,0.7780
4.9833,149.90,0.7820
4.9833,149.90,0.7770
4.9833,149.90,0.7790
4.9833,149.90,0.7860
4.9833,149.90,0.7850
4.9833,149.90,0.7890
4.9833,149.90,0.7920
4.9833,149.90,0.7820
4.9833,149.90,0.7740
4.9833,149.90,0.7740
4.9833,149.90,0.7810
4.9833,149.90,0.7780
4.9833,149.90,0.7810
4.9833,149.90,0.7870
4.9833,149.90,0.7870
4.9833,149.90,0.7730
4.9833,149.90,0.7870
4.9833,149.90,0.7850
4.9833,149.90,0.7820
4.9833,149.90,0.7850
4.9833,149.90,0.7820
4.9833,149.90,0.7750
4.9833,149.90,0.7790
4.9833,149.90,0.7910
4.9833,149.90,0.7820
4.9833,149.90,0.7770
4.9833,149.90,0.7850
4.9833,149.90,0.7830
4.9833,149.90,0.7810
4.9833,149.90,0.7720
4.9833,149.90,0.7770
4.9833,149.90,0.7870
4.9833,149.90,0.7740
4.9833,149.90,0.7920
4.9833,149.90,0.7830
4.9833,149.90,0.7740
4.9833,149.90,0.7840
4.9833,149.90,0.7840
4.9833,149.90,0.7770
