iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
0,-3.6558,-36.4184,744.3984,0.2323,356.14,0.2628,0.0538,2.728e+05
1,-3.2757,-31.7436,553.5599,nan,nan,nan,nan,5.651e+04
2,-3.4745,-28.7641,460.3099,nan,nan,nan,nan,7.928e+04
3,-3.4850,-29.7605,448.1265,nan,nan,nan,nan,9.935e+04
4,-3.4596,-31.2511,436.9679,nan,nan,nan,nan,1.171e+05
5,-3.4235,-32.0505,403.8959,nan,nan,nan,nan,1.329e+05
6,-3.4072,-33.1271,371.9094,nan,nan,nan,nan,1.471e+05
7,-3.3927,-34.4313,346.5381,nan,nan,nan,nan,1.599e+05
8,-3.3802,-35.7504,316.7319,nan,nan,nan,nan,1.715e+05
9,-3.3660,-37.5801,302.6344,nan,nan,nan,nan,1.821e+05
10,-3.3589,-39.3631,292.5255,nan,nan,nan,nan,1.917e+05
11,-3.3408,-40.9048,275.0924,nan,nan,nan,nan,2.006e+05
12,-3.3349,-42.8172,269.9518,nan,nan,nan,nan,2.087e+05
13,-3.3196,-44.2930,258.5136,nan,nan,nan,nan,2.163e+05
14,-3.3121,-45.7455,249.4034,nan,nan,nan,nan,2.233e+05
15,-3.3050,-47.0282,242.4290,nan,nan,nan,nan,2.298e+05
16,-3.2944,-48.3771,232.5202,nan,nan,nan,nan,2.359e+05
17,-3.2896,-49.7990,230.3498,nan,nan,nan,nan,2.416e+05
18,-3.2841,-50.7123,224.0529,nan,nan,nan,nan,2.470e+05
19,-3.2766,-52.0709,220.9689,nan,nan,nan,nan,2.520e+05
20,-3.2631,-53.2463,215.9360,nan,nan,nan,nan,2.567e+05
21,-3.2550,-54.1314,209.1414,nan,nan,nan,nan,2.612e+05
22,-3.2468,-55.1676,205.6707,nan,nan,nan,nan,2.654e+05
23,-3.2395,-55.9395,198.6070,nan,nan,nan,nan,2.693e+05
24,-3.2420,-56.8777,193.7607,nan,nan,nan,nan,2.730e+05
25,-3.2325,-57.7905,188.8240,0.0260,400.00,0.0000,0.0033,2.765e+05
26,-3.0445,-71.6294,283.7352,nan,nan,nan,nan,2.270e+05
27,-3.1813,-55.3561,161.9821,nan,nan,nan,nan,2.306e+05
28,-3.2057,-58.4080,157.9122,nan,nan,nan,nan,2.341e+05
29,-3.1863,-60.8665,163.6638,nan,nan,nan,nan,2.375e+05
30,-3.1699,-60.9819,153.0977,nan,nan,nan,nan,2.407e+05
31,-3.1634,-60.8765,137.8389,nan,nan,nan,nan,2.438e+05
32,-3.1537,-61.5123,132.4970,nan,nan,nan,nan,2.468e+05
33,-3.1464,-61.8260,124.3785,nan,nan,nan,nan,2.497e+05
34,-3.1372,-62.1219,116.4082,nan,nan,nan,nan,2.525e+05
35,-3.1157,-62.3886,108.0422,nan,nan,nan,nan,2.552e+05
36,-3.1050,-62.0382,98.3604,nan,nan,nan,nan,2.578e+05
37,-3.0929,-62.2620,92.6415,nan,nan,nan,nan,2.603e+05
38,-3.0794,-61.8781,84.0511,nan,nan,nan,nan,2.628e+05
39,-3.0617,-61.5983,76.5609,nan,nan,nan,nan,2.651e+05
40,-3.0499,-60.4994,64.7624,nan,nan,nan,nan,2.674e+05
41,-3.0264,-60.0496,58.1763,nan,nan,nan,nan,2.696e+05
42,-3.0065,-59.6746,51.1865,nan,nan,nan,nan,2.718e+05
43,-2.9771,-58.6802,44.5784,nan,nan,nan,nan,2.739e+05
