iter,mean_ep_rew_step,ret,loss,fwd_mean,ep_len,fall_rate,vx_mean,sps
0,-3.6416,-36.2950,737.2402,-0.0092,398.46,0.0184,-0.0008,2.619e+05
1,-3.4188,-34.1469,636.6193,nan,nan,nan,nan,6.823e+04
2,-3.4793,-28.4355,442.8109,nan,nan,nan,nan,9.376e+04
3,-3.4454,-29.7427,442.6985,nan,nan,nan,nan,1.154e+05
4,-3.4132,-31.2915,433.6651,nan,nan,nan,nan,1.340e+05
5,-3.3859,-32.0069,389.6927,nan,nan,nan,nan,1.500e+05
6,-3.3737,-33.0327,355.6473,nan,nan,nan,nan,1.641e+05
7,-3.3649,-34.5043,329.5233,nan,nan,nan,nan,1.765e+05
8,-3.3560,-36.3140,311.3248,nan,nan,nan,nan,1.874e+05
9,-3.3475,-38.0291,292.5036,nan,nan,nan,nan,1.972e+05
10,-3.3484,-40.0145,282.6500,nan,nan,nan,nan,2.060e+05
11,-3.3416,-41.7049,271.1222,nan,nan,nan,nan,2.140e+05
12,-3.3388,-43.3585,260.7347,nan,nan,nan,nan,2.212e+05
13,-3.3329,-44.8805,251.0241,nan,nan,nan,nan,2.278e+05
14,-3.3192,-46.3706,244.9514,nan,nan,nan,nan,2.337e+05
15,-3.3148,-47.7736,239.3995,nan,nan,nan,nan,2.393e+05
16,-3.3064,-49.2159,233.8675,nan,nan,nan,nan,2.444e+05
17,-3.3002,-50.4354,227.5200,nan,nan,nan,nan,2.492e+05
18,-3.3000,-51.2088,218.0008,nan,nan,nan,nan,2.537e+05
19,-3.2815,-52.8959,220.3451,nan,nan,nan,nan,2.577e+05
20,-3.2736,-53.8361,211.3779,nan,nan,nan,nan,2.616e+05
21,-3.2661,-54.9463,209.8176,nan,nan,nan,nan,2.651e+05
22,-3.2676,-56.0380,203.8165,nan,nan,nan,nan,2.684e+05
23,-3.2549,-56.8144,197.7463,nan,nan,nan,nan,2.716e+05
24,-3.2440,-57.4596,190.6871,nan,nan,nan,nan,2.745e+05
25,-3.2310,-58.4577,187.3165,-0.0090,397.73,0.0083,-0.0027,2.774e+05
26,-3.0871,-71.3315,274.1977,nan,nan,nan,nan,2.133e+05
27,-3.2001,-57.3066,167.3284,nan,nan,nan,nan,2.166e+05
28,-3.2107,-58.6215,151.4972,nan,nan,nan,nan,2.197e+05
29,-3.1939,-61.1986,159.2590,nan,nan,nan,nan,2.228e+05
30,-3.1859,-61.2898,149.5682,nan,nan,nan,nan,2.257e+05
31,-3.1759,-61.2340,138.2363,nan,nan,nan,nan,2.285e+05
32,-3.1686,-61.7461,129.6680,nan,nan,nan,nan,2.311e+05
33,-3.1577,-61.7364,121.6730,nan,nan,nan,nan,2.338e+05
34,-3.1534,-61.9206,111.5683,nan,nan,nan,nan,2.362e+05
35,-3.1517,-61.9230,104.6030,nan,nan,nan,nan,2.386e+05
36,-3.1391,-61.8211,97.2388,nan,nan,nan,nan,2.408e+05
37,-3.1254,-61.3408,86.1246,nan,nan,nan,nan,2.430e+05
